picklistId,listingId,binId,quantity,fnsku,warehouseId
P1630468061448,LSTCBKGY8MZNHDST5EMKNX29V,A107D240,-1,X001BKYBC9,4
P1630468061448,LSTFCWFZQCQWJSHKTDWN5DK0G,A107E270,-1,X0016EQ5IN,4
P1630468061448,LSTAPCFT57HKTF4HFJYTILRPW,A108B1000,-1,X0018POF8H,4
P1630468061448,LSTALOFW8JXE9GBS8EKYR0LUE,A108C290,-1,X0018X8YWR,4
P1630468061448,LSTALOGYRV9AG9BMPJJXW6FI9,A108G670,-1,X001C3WZCX,4
P1630468061448,LSTSNRFT57WWXMPHFZFCNYG1G,A108C990,-1,X0018PRX81,4
P1630468061448,LSTAPCFSZG7TSQDZRVHKIN6DT,A109B210,-1,X0018PRVK1,4
P1630468061448,,A109B700,-1,X001DDBQNB,4
P1630468061448,LSTPKTEHGY4CG5JHJEZYPU2CZ,A109B760,-2,X001FG7QQ7,4
P1630468061448,,A109G350,-1,X001EYOO7J,4
P1630468061448,LSTALOFUYFHQ8XNHPVURT63CF,A109G710,-1,X0019OIOU7,4
P1630468061448,LSTTNRFFRHZZ7BKRWA57BMVGU,A109G760,-1,X00152L43R,4
P1630468061448,LSTAPCFTBUTBFAZVCP6P3FEEJ,A110A390,-3,X0018PRVLZ,4
P1630468061448,LSTKDEFGB6TGVYCHEVZEOQIKU,A110E110,-1,X00109UXFZ,4
P1630468061448,LSTSNDF8K47MVUFRB7NZH09XE,A110G370,-1,X000WPY8H7,4
P1630468061448,LSTHWSFRZ8YYVUSR7NRZZU5YA,A109G870,-1,X001EZDLY5,4
P1630468061448,LSTALOG2MC7F5VXHQUVUJNDNQ,A109G870,-1,X001CKGU0J,4
P1630468061448,LSTAPCFVADZUWTX39H9JLYVUR,A109G950,-2,X0018PRX09,4
P1630468061448,LSTWIPG3VSHC4DAZXUE1IAXLS,A109G1010,-1,X001ELQQR3,4
P1630468061448,LSTALOGYW42G8C4FWVZYTBIMZ,A110G1160,-3,X001BNOOKP,4
P1630468061448,,A108G1350,-1,X0018PU4BT,4
P1630468061448,LSTMSCFAGENBTK8YCNHNVOPZQ,A107G950,-1,X0014R2N5V,4
P1630468061448,LSTCKBFTHY93H9W2HHSBRBVKY,A107G940,-1,X0017KU55Z,4
P1630468061448,LSTWIPFVDSYYWFFFWDGCGWQRK,A107G880,-1,X001F6NH8N,4
P1630468061448,LSTALOGYRV9ZHF4QE28OWRJNS,A107G840,-3,X001AZ0JBR,4
P1630468061448,LSTFLTFTJZ93NRYHKCENWAKVP,A114B170,-1,X0018PU4BJ,4
P1630468061448,LSTPKTFHCYMJ8HWHZRTVGFGVU,A114C190,-7,X0019FQITZ,4
P1630468061448,LSTSOPFHDY2NRZJTDZHOPDTPQ,A114C220,-1,X0018PRX4P,4
P1630468061448,LSTAPCFTJZKYFRRKDXRDHXNHS,A115B210,-2,X0018PRVMJ,4
P1630468061448,LSTCKBF5VPQPXHRTUG2S3RABP,A115B320,-1,X000W3XANR,4
P1630468061448,LSTSNDEYY6QPGYKVZXBFOMXJZ,A117D350,-1,X000WTC39X,4
P1630468061448,LSTMRPFUGF2TPSRNFKAHN9MDV,A118A190,-1,X0018PRVKB,4
P1630468061448,LSTCBKFTQ95HEP3WMGKZM4M2K,A118A280,-2,X0016F8KLH,4
P1630468061448,LSTETYF7FFHFRKZQKVVV97HAC,A118C340,-2,X0018POFA5,4
P1630468061448,LSTAPCFT5CJZDKFJH7HLXA9S5,A119A290,-1,X0018YY6I7,4
P1630468061448,LSTAPCFTNGEY5CSM3XML6Z0CA,A119A290,-1,X0018PRX7R,4
P1630468061448,LSTFKTFBPYF9DFGYZQJYCQYMM,A119A340,-1,X0018XC4YL,4
P1630468061448,LSTFLTG3UQTWDQXH6FYNKWPAI,A119C180,-1,X001EE2JCB,4
P1630468061448,LSTBSTFGWASUJVHXYDREI6KCE,A119C210,-1,X0019RLDLB,4
P1630468061448,,A120B150,-1,X0010DBARL,4
P1630468061448,LSTWIPFP84DEGMGQTQ4VLZPVF,A120C270,-1,X0018PRX13,4
P1630468061448,LSTPKTF8ZHRZQQHDV6A2SPVOV,A108A830,-1,X001FG5QI7,4
P1630468061448,LSTCKBFTHY9FZRQ3HQNIURQPM,A108B910,-1,X0017KU5CN,4
P1630468061448,LSTALOG2MC7YEWRZS9KSPQPQG,A108B950,-1,X001CH9H61,4
P1630468061448,LSTPKTFKDVUWHBHRZQFOXXZ3Z,A123A200,-1,X0019FRZVP,4
P1630468061448,LSTALOGFZ5HJNKGNJ2FXEBLMV,A123B390,-2,X001C3X1G7,4
P1630468061448,LSTPKTFHCYMJ8HWHZRTVGFGVU,A123C160,-1,X0019FQITZ,4
P1630468061448,LSTFKTFBPYF9DFGYZQJYCQYMM,A123C180,-2,X0018XC4YL,4
P1630468061448,LSTFCKEYY4RH4HY4WG5UP9V0R,A123C390,-1,X0016E7LVX,4
P1630468061448,LSTTLCGF8FHJGBXANHBIEUI5U,A123D260,-1,X001CB3QT1,4
P1630468061448,LSTSMPFTHTVWZKJBK5YSVXZOV,A123D340,-1,X001BLBT1T,4
P1630468061448,LSTTLCGF8FHJGBXANHBIEUI5U,A121A110,-1,X001CB3QT1,4
P1630468061448,LSTMSCECNPQDHJDRUXT5DIGU6,A121A110,-1,X0018PRX1D,4
