listingId,picklistId_mongo,warehouseId_mongo,bin_id,error massage
LSTBBTFJFVQ9BWSZHBKPXAT5O,P200721-E72D9541E7C5,4,ST-001-008-005,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//input[@class=""productId-input""]""}
  (Session info: chrome=91.0.4472.164)
"
LSTBBTFJFVQ9BWSZHBKPXAT5O,P200721-E72D9541E7C5,4,ST-001-008-005,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//input[@class=""productId-input""]""}
  (Session info: chrome=91.0.4472.164)
"
LSTAPCFTNGGGNYB7P3FCXW4F3,P200721-E72D9541E7C5,4,A109G360,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//input[@class=""productId-input""]""}
  (Session info: chrome=91.0.4472.164)
"
LSTCKBF36NVHX25VGH6MZI0ZQ,P200721-E72D9541E7C5,4,A108B870,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//input[@class=""productId-input""]""}
  (Session info: chrome=91.0.4472.164)
"
LSTAPCFSJ2VZTZFPJ6FKZ1Q5W,P200721-E72D9541E7C5,4,A108D1030,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//input[@class=""productId-input""]""}
  (Session info: chrome=91.0.4472.164)
"
LSTSMPEU4BCNR5BZQJYGDZAIE,P200721-356E04961CC9,4,A109G1190,"Message: element click intercepted: Element <a class=""reprint-label-link"">...</a> is not clickable at point (891, 584). Other element would receive the click: <div class=""overlay"" style=""max-height=px""></div>
  (Session info: chrome=91.0.4472.164)
"
LSTSMPEU4BCNR5BZQJYGDZAIE,P200721-356E04961CC9,4,A108G740,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTFCKECXG4KTDSSHYZTA8MTC,P200721-356E04961CC9,4,A109G710,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPEU4BCHWYGHGFFRUAGDE,P200721-356E04961CC9,4,A108G960,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPEU4BCEWX4VHSB1LHIQA,P200721-356E04961CC9,4,A108G900,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPEU4BCEWX4VHSB1LHIQA,P200721-356E04961CC9,4,A108G900,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPEU4BCEWX4VHSB1LHIQA,P200721-356E04961CC9,4,A108G900,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPEU4BCEWX4VHSB1LHIQA,P200721-356E04961CC9,4,A108G900,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYPUMM6NGEF4N2BRYU,P200721-356E04961CC9,4,A111G1370,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYPUMM6NGEF4N2BRYU,P200721-356E04961CC9,4,A111G1370,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYPUMM6NGEF4N2BRYU,P200721-356E04961CC9,4,A111G1370,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFE25FNSG2HWMVLMLG2N,P200721-356E04961CC9,4,A108G800,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
