Order Picklist Fnsku,Order Picklist Listing ID,Order Id,Order Item Id,Picklist Id,Quantity,Source Bin,Warehouse,Expire Date,ean
,LSTPFDFENFPZGHXXPNSC6ZGOW,,,P251021-EEA7A454E42C,1,A760,7,,_8906043147837
,LSTPFDFENFPZGHXXPNSC6ZGOW,,,P251021-EEA7A454E42C,1,A760,7,,_8906043147837
,LSTAPCG4A5YZM2967XQY2UGBJ,,,P251021-EEA7A454E42C,1,A1090,7,,NaN
,LSTBKPFDNNEVZMYGH3UXEE9TA,,,P251021-EEA7A454E42C,1,A2910,7,,_8901188879537
,LSTBKPFDNNEVZMYGH3UXEE9TA,,,P251021-EEA7A454E42C,1,A2910,7,,_8901188879537
,LSTBKPFDNNEVZMYGH3UXEE9TA,,,P251021-EEA7A454E42C,1,A2910,7,,_8901188879537
,LSTBKPFDNNEVZMYGH3UXEE9TA,,,P251021-EEA7A454E42C,1,A2910,7,,_8901188879537
,LSTBKPFDNNEVZMYGH3UXEE9TA,,,P251021-EEA7A454E42C,1,A2910,7,,_8901188879537
,LSTBKPFDNNEVZMYGH3UXEE9TA,,,P251021-EEA7A454E42C,1,A2910,7,,_8901188879537
,LSTFCKEYY4RH4HY4WG5UP9V0R,,,P251021-EEA7A454E42C,1,A900,7,,_8906008458015
,LSTBKPG3VYKKDZRWPEZEX3O5N,,,P251021-EEA7A454E42C,1,A2930,7,,_8901188722949
,LSTBKPG3VYKKDZRWPEZEX3O5N,,,P251021-EEA7A454E42C,1,A2930,7,,_8901188722949
,LSTBKPG3VYKKDZRWPEZEX3O5N,,,P251021-EEA7A454E42C,1,Bin N/A,7,,_8901188722949
,LSTFCKDRMEFTUHTA8QUD4OGQP,,,P251021-EEA7A454E42C,1,A640,7,,_8906008458039
,LSTWIPDGPJUGKKHSYHGWM4NEI,LSTWIPF5H3YY9A7GGGCP0ELGZ,,P251021-EEA7A454E42C,3,N/A,7,,
